county,lat,lon,forest_kdry_metric,mill_kdry_metric,pulpwood_kdry_metric,Jesup -- Rayonier Advanced Materials Inc.,Oglethorpe -- International Paper Co.,Valdosta -- Packaging Corporation of America,"Conyers -- Pratt Industries USA, Inc.","Austell -- Sweetwater Paperboard Co., Inc.",Macon -- Irving Tissue Co.,Hawkinsville -- Hollingsworth & Vose Co.,Dublin -- Smurfit Westrock Paper USA,Rome -- International Paper Co.,Macon -- Graphic Packaging International Inc.,"Brunswick -- GP Cellulose, L.L.C.",Rincon -- Georgia-Pacific LLC,Port Wentworth -- International Paper Co.,Augusta -- Clearwater Paper Corp.,Albany -- Procter & Gamble Paper Products Co.,Austell -- Austell Boxboard Corp.
Clarke,33.945869,-83.355782,1.629525311,0.0,1.9470279710934166,214.95,136.11,241.35,47.24,75.26,93.26,141.62,119.59,116.47,92.95,283.38,194.04,209.7,95.41,197.08,76.4
Clay,31.573818,-84.980081,6.544839626,0.0,42.19455041983156,213.94,94.1,136.45,203.17,175.07,145.73,126.64,168.99,203.05,147.87,234.75,273.64,277.86,270.06,67.56,175.29
Clayton,33.520496,-84.359171,0.667246717,0.0,2.669131737330515,221.03,96.13,213.26,26.14,3.01,68.91,113.54,124.33,63.39,72.51,293.92,228.98,233.2,147.49,145.66,4.03
Clinch,30.893878,-82.692347,103.313531,16.32782621,166.70454831418894,79.77,150.05,50.98,248.79,243.52,178.33,119.67,126.66,302.78,180.47,99.79,170.9,160.95,216.29,120.21,242.42
Cobb,33.937395,-84.573201,0.772091503,0.0,15.112569158670684,254.61,137.49,246.84,44.58,40.15,102.49,147.12,157.91,34.48,106.09,327.5,262.56,266.78,167.1,202.57,39.03
Coffee,31.530181,-82.840569,37.28488429,0.0,43.339845683192706,73.95,106.48,60.47,197.01,191.74,118.16,69.55,76.54,251.0,122.49,99.1,138.88,128.93,157.52,90.86,190.64
Colquitt,31.18036,-83.769615,24.66822635,85.53797706,57.934836543376896,133.9,98.37,39.53,199.17,193.89,128.71,96.25,129.34,253.16,130.85,154.71,225.82,215.87,253.04,43.81,192.79
Columbia,33.53131,-82.256398,28.04498099,0.0,20.362422714650723,163.39,174.02,268.78,109.34,135.8,123.48,128.15,98.32,179.12,120.38,207.08,117.74,133.41,19.11,224.51,136.93
Cook,31.145512,-83.433157,15.07548663,0.0,7.299974560701316,109.67,95.94,25.26,194.68,189.41,124.23,91.77,124.86,248.67,126.37,129.69,200.81,190.86,248.55,63.1,188.31
Coweta,33.350066,-84.754573,19.18823596,0.0,61.1754051010866,235.2,101.56,227.44,57.44,28.5,83.09,127.71,138.51,61.98,86.69,308.09,243.16,247.38,179.96,150.36,28.72
Crawford,32.721268,-83.982534,19.56174637,0.0,69.26815589434757,162.19,34.48,152.48,78.57,65.91,22.16,52.75,81.84,132.56,27.07,201.79,186.48,190.7,149.25,92.07,65.36
Crisp,31.915226,-83.77777,6.854398439,0.0,10.877712444765836,127.92,39.31,84.75,138.05,132.78,67.59,35.14,77.49,192.04,69.74,169.71,182.14,186.36,191.92,38.02,131.68
Dade,34.872208,-85.499879,0.874496756,0.0,8.19166309749786,370.28,253.16,362.52,160.25,155.83,218.17,262.79,273.59,86.05,221.77,443.17,378.23,382.45,282.77,318.25,156.84
Dawson,34.407708,-84.135677,5.411903988,0.0,7.412558561934367,292.4,175.28,284.64,73.19,77.95,140.29,184.91,195.71,78.5,143.89,365.29,260.95,304.57,162.32,240.37,78.96
DeKalb,33.757561,-84.218651,0.676177888,0.0,4.35469324568568,234.63,117.5,226.86,16.01,25.38,82.51,127.13,137.93,58.43,86.11,307.52,242.58,246.8,138.53,182.59,26.39
Decatur,30.873661,-84.574095,21.10816217,0.0,83.40534467639502,184.37,117.35,84.32,253.0,224.9,164.95,132.5,174.85,252.88,167.09,204.39,275.5,265.55,289.28,62.79,225.12
Dodge,32.150651,-83.152013,60.78296179,0.0,27.57113859761391,87.51,61.05,120.43,136.28,131.0,71.86,23.25,34.87,190.27,61.75,127.11,132.69,136.91,135.26,89.54,129.9
Dooly,32.154238,-83.825382,20.13924033,0.0,14.861469323313829,138.56,21.83,102.03,123.35,118.08,52.9,28.93,71.28,177.34,55.04,186.99,175.93,180.15,177.22,51.38,116.98
